"COUNTY","OFFENDERS","PERCENT"
"Pearl River","6","1.79%"
"Perry","1","0.30%"
"Pike","12","3.58%"
"Pontotoc","8","2.39%"
"Prentiss","3","0.90%"
"Quitman","3","0.90%"
"Rankin","28","8.36%"
"Scott","6","1.79%"
"Sharkey","0","0.00%"
"Simpson","0","0.00%"
"Smith","3","0.90%"
"Stone","3","0.90%"
"Sunflower","4","1.19%"
"Tallahatchie","1","0.30%"
"Tate","2","0.60%"
"Tippah","0","0.00%"
"Tishomingo","2","0.60%"
"Tunica","0","0.00%"
"Union","1","0.30%"
"Walthall","2","0.60%"
"Warren","2","0.60%"
"Washington","4","1.19%"
"Wayne","1","0.30%"
"Webster","0","0.00%"
"Wilkinson","2","0.60%"
"Winston","0","0.00%"
"Yalobusha","1","0.30%"
