"FEMALES","","","","","",""
"SENTENCE LENGTH","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Less than 1 year","6","12","0","0","18",".78%"
"1-2 Years","143","195","1","4","343","14.90%"
"3-5 Years","377","415","1","4","797","34.62%"
"6-10 Years","322","217","6","1","546","23.72%"
"11-20 Years","161","73","1","1","236","10.25%"
"21-30 Years","18","14","1","1","34","1.48%"
"Greater Than 30 Years","10","5","0","0","15",".65%"
"Life","50","45","0","0","95","4.13%"
"Death","0","1","0","0","1",".04%"
"Verification Pending","96","119","0","2","217","9.43%"
"TOTAL","1,183","1,096","10","13","2,302","100.00%"
