"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","51","1.28","Lawrence","24",".60"
"","Clay","87","2.19","Leake","60","1.51"
"","Covington","31",".78","Lowndes","314","7.90"
"","Forrest","324","8.15","Marion","93","2.34"
"","George","71","1.79","Neshoba","116","2.92"
"","Greene","37",".93","Newton","52","1.31"
"","Hancock","100","2.52","Noxubee","18",".45"
"Southern","","","","","",""
"","Harrison","863","21.71","Oktibbeha","170","4.28"
"Counties","","","","","",""
"","Jackson","403","10.14","Pearl River","138","3.47"
"","Jasper","44","1.11","Perry","23",".58"
"","Jeff Davis","20",".50","Scott","108","2.72"
"","Jones","167","4.20","Simpson","45","1.13"
"","Kemper","21",".53","Smith","12",".30"
"","Lamar","113","2.84","Stone","73","1.84"
"","Lauderdale","329","8.27","Wayne","69","1.74"
"","","","","TOTAL","3,976","42.52"
