"Location","Capacity","1-Dec-10","2-Dec-10","3-Dec-10","4-Dec-10","5-Dec-10","6-Dec-10","7-Dec-10","8-Dec-10","9-Dec-10"
"Mississippi State Penitentiary","4,435","3,225","3,234","3,255","3,248","3,244","3,253","3,250","3,253","3,262"
"Central Mississippi Correctional Facility","3,449","3,191","3,191","3,138","3,134","3,135","3,172","3,186","3,201","3,161"
"South Mississippi Correctional Institution","3,204","3,187","3,182","3,188","3,184","3,183","3,177","3,174","3,171","3,177"
"County Jails","1,543","1,618","1,630","1,627","1,627","1,627","1,623","1,614","1,612","1,620"
"COMMUNITY WORK CENTERS","1,848","1,554","1,561","1,577","1,578","1,576","1,556","1,558","1,548","1,576"
"Alcorn Satellite Facility","92","75","80","80","80","80","80","81","81","81"
"Bolivar Satellite Facility","102","89","88","86","86","86","83","83","82","82"
"Forrest Satellite Facility","96","71","73","71","72","72","72","72","72","72"
"George Satellite Facility","102","83","83","87","87","87","87","87","87","87"
"Harrison Satellite Facility","102","75","74","78","78","78","78","78","78","78"
"Jackson Satellite Facility","102","79","79","79","79","79","79","83","83","83"
"Jefferson Satellite Facility","102","89","91","100","100","100","97","94","94","99"
"Leflore Satellite Facility","102","82","85","84","84","84","84","83","83","82"
"Madison Satellite Facility","102","97","95","99","99","99","97","97","96","101"
"Noxubee Satellite Facility","92","84","83","83","83","82","82","78","76","87"
"Pike Satellite Facility","93","89","90","89","89","89","88","89","89","90"
"Quitman Satellite Facility","93","63","63","63","63","62","61","63","62","64"
"Rankin Satellite Facility","260","217","217","218","218","218","218","220","216","216"
"Simpson Satellite Facility","102","98","99","99","99","99","99","99","98","97"
"Washington Satellite Facility","102","87","86","87","87","87","82","82","82","82"
"Wilkinson Satellite Facility","102","79","79","78","78","78","74","74","74","74"
"Yazoo Satellite Facility","102","97","96","96","96","96","95","95","95","101"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,000","3,000","3,006","3,005","3,003","3,012","3,011","3,003","3,005"
"Bolivar County","294","233","233","233","233","233","234","234","233","233"
"Carroll County","280","222","223","223","223","223","223","223","222","222"
"Chickasaw County","300","237","236","237","236","236","241","241","240","240"
"George County","280","223","223","224","224","224","225","225","224","224"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","219","218","218","218","217","219","220","219","219"
"Jefferson County","280","221","222","223","223","223","223","223","224","224"
"Kemper County","355","284","284","284","284","284","284","284","283","284"
"Leake County","280","224","225","225","225","225","225","225","224","225"
"Marion County","280","223","223","224","224","224","224","223","223","224"
"Stone County","280","225","225","225","225","225","224","224","224","223"
"Winston County","280","224","223","225","225","224","224","224","223","222"
"Yazoo County","300","241","241","241","241","241","242","241","240","241"
"PRIVATE PRISONS","5,972","5,263","5,261","5,257","5,254","5,251","5,240","5,241","5,251","5,256"
"Delta","972","901","901","902","902","902","902","899","903","903"
"East Mississippi","1,500","1,359","1,361","1,361","1,361","1,360","1,359","1,358","1,361","1,356"
"Marshall County","1,000","917","916","914","914","914","913","912","911","911"
"Walnut Grove","1,500","1,200","1,198","1,196","1,195","1,194","1,186","1,189","1,194","1,200"
"Wilkinson County","1,000","886","885","884","882","881","880","883","882","886"
"RESTITUTION CENTERS","16","8","8","8","8","8","8","9","9","9"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","2","2","2","2","2","2","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","7","9","11","10","12","13","13","13","14"
"TOTALS","24,236","21,058","21,081","21,072","21,053","21,044","21,059","21,061","21,066","21,085"
