Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"24,959"
11-Mar-14,"3,325","3,012",35,"3,205","1,973","1,178",87,50,52,61,48,52,51,50,46,73,90,78,198,93,56,42,51,"4,406",295,366,279,298,278,279,273,277,355,277,280,280,293,277,299,4367,"1,199","1,000","1,294",874,12,6,3,3,"21,513"
12-Mar-14,"3,327","3,044",35,"3,178","1,966","1,151",85,47,50,60,41,50,49,50,43,72,88,78,199,91,53,44,51,"4,405",299,363,280,299,278,280,271,273,354,279,279,280,297,273,300,4365,"1,201",998,"1,292",874,12,6,3,3,"21,483"
13-Mar-14,"3,339","3,002",35,"3,202","1,944","1,150",84,47,49,61,38,48,48,49,43,72,88,78,199,93,58,44,51,"4,417",299,365,280,300,277,280,273,278,355,279,279,280,295,275,302,4369,"1,200",998,"1,292",879,12,6,3,3,"21,470"
14-Mar-14,"3,353","2,986",34,"3,208","1,965","1,137",82,46,52,60,38,48,47,50,43,70,88,63,199,97,58,44,52,"4,418",298,367,280,300,276,279,274,278,355,281,280,278,295,275,302,4370,"1,201",998,"1,292",879,11,6,3,2,"21,482"
15-Mar-14,"3,352","2,985",34,"3,205","1,965","1,134",81,46,52,60,38,48,47,50,43,70,88,61,199,97,58,44,52,"4,415",298,367,280,300,276,279,274,278,355,281,280,278,295,274,300,4369,"1,201",998,"1,291",879,11,6,3,2,"21,470"
16-Mar-14,"3,350","2,985",34,"3,205","1,965","1,131",81,46,52,60,38,48,47,50,43,69,86,61,199,97,58,44,52,"4,415",298,367,280,300,276,279,274,278,355,281,280,278,295,274,300,4366,"1,200",998,"1,289",879,11,6,3,2,"21,462"
17-Mar-14,"3,358","2,972",34,"3,206","1,955","1,141",87,49,51,61,38,46,46,50,43,70,88,64,199,97,55,44,53,"4,420",298,369,280,298,280,280,274,280,354,281,280,278,294,274,300,4361,"1,198",998,"1,288",877,11,6,3,2,"21,458"
18-Mar-14,"3,350","2,995",36,"3,203","2,001",998,87,49,51,61,36,46,46,55,42,70,88,63,56,97,55,43,53,"4,416",300,369,280,297,279,280,272,278,352,281,280,280,289,278,301,4363,"1,199","1,000","1,289",875,11,6,3,2,"21,373"
19-Mar-14,"3,351","2,999",36,"3,205","1,977","1,147",87,46,53,61,37,45,48,57,42,70,90,62,201,96,54,43,55,"4,410",300,369,280,297,280,280,273,277,351,280,279,277,289,280,298,4365,"1,200",999,"1,291",875,11,6,3,2,"21,501"
20-Mar-14,"3,357","2,976",36,"3,212","1,967","1,146",87,49,51,60,36,45,48,56,44,74,90,62,201,95,52,43,53,"4,421",300,368,278,300,281,280,274,277,355,280,280,277,294,279,298,4369,"1,200",999,"1,295",875,11,6,3,2,"21,495"
21-Mar-14,"3,356","2,972",36,"3,208","1,971","1,134",87,47,50,59,38,45,47,55,45,71,90,61,200,95,50,42,52,"4,418",299,367,278,300,280,280,274,277,355,280,280,277,294,279,298,4370,"1,200",999,"1,296",875,10,6,3,1,"21,475"
