Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
10-Oct-11,"3,046","3,020","3,199","1,972","1,521",84,82,82,83,89,89,77,94,87,79,62,78,189,88,90,83,85,"3,490",248,233,225,249,223,224,220,224,283,223,224,223,214,225,252,"5,181",899,"1,357",996,"1,035",894,12,4,4,4,5,3,"21,449"
11-Oct-11,"3,034","3,033","3,209","1,951","1,531",84,86,82,75,89,91,77,94,86,79,70,79,189,88,94,83,85,"3,493",248,233,223,250,224,224,220,224,283,224,224,224,217,225,250,"5,197",901,"1,359",995,"1,048",894,12,4,4,4,5,3,"21,468"
12-Oct-11,"3,052","3,030","3,206","1,987","1,529",86,86,83,75,89,91,77,94,85,79,70,78,189,85,94,83,85,"3,491",249,235,223,250,224,224,219,224,283,224,224,224,214,224,250,"5,203",901,"1,358","1,000","1,045",899,12,4,4,4,5,7,"21,522"
13-Oct-11,"3,047","3,057","3,193","1,992","1,519",85,86,83,74,91,91,77,94,85,78,62,76,190,86,94,83,84,"3,488",251,233,224,250,222,223,219,224,282,222,224,224,214,223,253,"5,204",901,"1,358","1,000","1,046",899,12,4,4,4,5,7,"21,524"
14-Oct-11,"3,053","3,035","3,189","1,989","1,512",81,85,81,73,89,91,74,92,91,74,70,76,190,90,89,81,85,"3,490",251,233,224,249,222,224,219,224,282,224,224,224,214,223,253,"5,173",900,"1,357",998,"1,022",896,12,4,5,3,5,33,"21,491"
15-Oct-11,"3,056","3,034","3,187","1,989","1,508",81,85,81,73,89,91,74,89,91,73,70,76,190,90,89,81,85,"3,488",251,233,224,249,222,224,219,224,282,224,223,224,214,222,253,"5,172",900,"1,357",997,"1,022",896,12,4,5,3,5,33,"21,484"
16-Oct-11,"3,053","3,029","3,185","1,989","1,507",81,85,80,73,89,91,74,89,91,73,70,76,190,90,89,81,85,"3,485",251,233,224,249,222,224,219,224,281,224,223,223,214,222,252,"5,171",900,"1,357",997,"1,021",896,12,4,5,3,5,35,"21,471"
17-Oct-11,"3,054","3,025","3,185","1,993","1,523",85,85,81,74,91,92,74,90,91,76,69,76,191,89,90,83,86,"3,484",251,232,224,249,222,224,219,223,281,224,223,222,214,224,252,"5,169",899,"1,359","1,000","1,016",895,12,4,5,3,5,6,"21,456"
18-Oct-11,"3,060","3,020","3,191","1,991","1,516",85,82,81,74,91,90,74,90,92,76,69,73,192,90,90,83,84,"3,491",250,233,223,247,224,224,219,222,281,223,224,224,222,223,252,"5,166",898,"1,359",999,"1,016",894,12,4,5,3,5,8,"21,460"
